order_id,created_at,discount,product_id,quantity,subtotal,tax,total,customer_id
26372,2022-06-15 01:46:00,0,88,46,35650,2495.5,38145.5,116
1499,2022-06-22 19:22:49,10,95,10,2370,23.7,2154.33,838
7153,2022-06-12 22:22:16,15,296,1,199,17.91,184.37,270
29573,2022-06-14 04:06:52,10,308,21,11802,236.04,10834.24,15
27875,2022-06-06 13:41:54,0,30,24,21840,873.6,22713.6,79
18612,2022-06-28 22:09:16,10,250,35,8960,89.6,8144.64,911
21428,2022-06-05 21:54:41,10,413,9,45,4.5,44.55,807
7748,2022-06-07 11:39:09,0,40,36,10224,1022.4,11246.4,439
3934,2022-06-29 00:05:57,15,176,16,6032,120.64,5229.74,702
21131,2022-06-30 08:46:29,10,267,33,2739,273.9,2711.61,532
2408,2022-06-07 03:32:52,10,417,2,1194,226.86,1278.77,505
28105,2022-06-14 13:43:20,0,487,15,13020,390.6,13410.6,544
17117,2022-06-19 20:34:48,15,64,35,17955,1256.85,16330.07,126
16595,2022-06-18 08:57:51,0,131,30,18990,2658.6,21648.6,528
15068,2022-06-28 16:44:02,10,299,41,5289,687.57,5378.91,324
28056,2022-06-19 20:16:42,0,9,22,17666,3533.2,21199.2,188
14096,2022-06-25 00:25:21,15,138,36,15912,954.72,14336.71,762
21666,2022-06-08 21:40:52,10,23,32,832,58.24,801.22,479
26362,2022-06-23 16:04:32,10,32,31,14942,2689.56,15868.4,159
28604,2022-06-28 21:57:10,10,341,47,38493,5004.09,39147.38,283
17082,2022-06-24 10:00:45,15,231,49,43316,5631.08,41605.02,610
18751,2022-06-18 12:22:57,0,340,19,1957,234.84,2191.84,495
6281,2022-06-07 23:11:03,10,179,36,26964,3505.32,27422.39,733
24062,2022-06-28 23:22:26,0,176,4,1508,286.52,1794.52,796
28667,2022-06-27 04:17:17,10,379,40,3720,148.8,3481.92,369
27665,2022-06-25 14:04:07,15,143,31,18104,362.08,15696.17,346
28025,2022-06-28 06:18:34,10,481,50,20000,800.0,18720.0,938
25432,2022-06-18 19:20:36,15,13,18,12834,1283.4,11999.79,264
4440,2022-06-14 11:38:05,0,32,30,14460,1879.8,16339.8,309
4804,2022-06-29 09:17:13,10,463,31,15035,451.05,13937.44,657
4020,2022-06-10 08:22:28,10,19,5,1635,130.8,1589.22,449
